# Accepted-work ledger (ci/ledger.sh): every change of the chain against its parent under one protocol
# (bootstrap-built benchmark binaries, 100 serial self-transpile rounds and one cold real build, 14 cores).
# baseline record: the first commit of the chain, measured under this protocol; the perf gate scales
# ci/baseline.env by the resolved limit over that value.
# work	commit	parent	metric	parent_value	value	improvement	regression	owner
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	frontend_mcyc	359.860	371.370	0.000	11.510	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	heap_mib	465.095	405.489	59.606	0.000	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	parallel_transpile_ms	355.606	381.722	0.000	26.116	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	peak_rss_mib	687.234	286.625	400.609	0.000	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	phase_borrowck_mcyc	562.620	564.300	0.000	1.680	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	phase_codegen_mcyc	1071.330	1012.170	59.160	0.000	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	phase_parse_mcyc	114.820	119.110	0.000	4.290	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	phase_resolve_mcyc	59.560	61.240	0.000	1.680	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	phase_typecheck_mcyc	185.480	191.020	0.000	5.540	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	serial_cpu_ms	530.925	528.764	2.161	0.000	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	serial_kalloc	717.960	503.390	214.570	0.000	90409c8
render bodies straight into the TU buffer, reuse kept bodies in the alwa	90409c8	fcf8f50	serial_mcyc	1984.922	1950.323	34.599	0.000	90409c8
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	frontend_mcyc	371.370	379.810	0.000	8.440	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	heap_mib	405.489	394.359	11.130	0.000	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	parallel_transpile_ms	381.722	327.333	54.389	0.000	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	peak_rss_mib	286.625	282.859	3.766	0.000	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	phase_borrowck_mcyc	564.300	433.990	130.310	0.000	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	phase_codegen_mcyc	1012.170	907.310	104.860	0.000	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	phase_parse_mcyc	119.110	121.570	0.000	2.460	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	phase_resolve_mcyc	61.240	61.780	0.000	0.540	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	phase_typecheck_mcyc	191.020	196.460	0.000	5.440	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	serial_cpu_ms	528.764	468.203	60.561	0.000	ecc1e7f
